ma_phieu,loai_doi_tuong,truong_dai_hoc,khoa_nganh,gioi_tinh,do_tuoi,hoc_vi_hoc_ham,nam_hoc_hoac_nam_giang_day,hieu_biet_phan_mem_phan_tich_1_5,phan_mem_dang_su_dung,tan_suat_su_dung_1_5,muc_do_hai_long_phan_mem_hien_tai_1_5,kho_khan_chinh_khi_su_dung,nhu_cau_phan_tich_noi_dung_van_ban_1_5,nhu_cau_kiem_tra_fact_tu_nguon_khoa_hoc_1_5,nhu_cau_phan_tich_bao_cao_hoc_thuat_1_5,nhu_cau_truc_quan_hoa_du_lieu_1_5,nhu_cau_xuat_bao_cao_tu_dong_1_5,san_sang_su_dung_cong_cu_mien_phi,muc_phi_chap_nhan_usd_thang,danh_gia_tam_quan_trong_ai_trong_giao_duc_1_5,kha_nang_tich_hop_vao_giang_day_1_5,kien_nghi_them,thoi_gian_hoan_thanh_phut
SV0217,Sinh vien,DH Hoa Sen,Giao duc hoc,Nam,21,Dai hoc,2,4,Excel,4,3,Chi phi ban quyen cao,2,4,5,4,1,Khong,5,4,3,Co giao dien tieng Viet,19
GV0051,Giang vien,DH Thuong mai,Ky thuat,Nam,59,ThS,27,4,Stata,3,2,Khong co kho khan gi,4,5,5,2,3,Co the,5,4,4,Co huong dan su dung chi tiet,24
SV0131,Sinh vien,DH Su pham HN,Ngu van,Nam,20,Dai hoc,2,1,Excel,1,3,Khong duoc dao tao su dung,2,3,3,4,4,Co,20,4,3,Co huong dan su dung chi tiet,10
GV0047,Giang vien,DH Da Nang,Quan tri kinh doanh,Nam,48,TS,15,5,SPSS,3,3,Khong co tai lieu tieng Viet,5,5,5,2,4,Co,15,4,3,Co huong dan su dung chi tiet,18
SV0218,Sinh vien,DH Can Tho,Quan tri kinh doanh,Nam,24,Dai hoc,4,4,Excel,4,5,Khong co kho khan gi,4,3,3,5,5,Co,5,4,3,Co giao dien tieng Viet,19
SV0025,Sinh vien,DH Thuong mai,Tai chinh - Ngan hang,Nam,21,Dai hoc,5,4,Python,3,2,Giao dien phuc tap,5,3,5,4,3,Co,10,3,3,Ho tro nhieu dinh dang file,9
SV0201,Sinh vien,DH Hue,Ky thuat,Nam,22,Dai hoc,5,3,Excel,4,4,Thieu tinh nang can thiet,3,3,5,4,5,Co the,20,1,4,Mien phi cho sinh vien,11
GV0075,Giang vien,DH Kinh te Quoc dan,Khoa hoc may tinh,Nam,57,TS,29,3,SPSS,4,4,Giao dien phuc tap,2,1,5,3,4,Co the,10,4,5,Mien phi cho sinh vien,12
SV0080,Sinh vien,DH Kinh te TP.HCM,Cong nghe thong tin,Nam,23,Dai hoc,1,3,Excel,5,2,Thieu tinh nang can thiet,3,2,4,3,4,Co,5,4,1,Tich hop AI de goi y phan tich,17
GV0074,Giang vien,DH Quoc gia HN,Luat,Nu,36,TS,4,5,Stata,3,1,Khong co kho khan gi,2,4,5,2,4,Co the,10,3,1,Mien phi cho sinh vien,18
GV0045,Giang vien,DH Da Nang,Ky thuat,Nam,55,ThS,24,2,AMOS,5,1,Thieu tinh nang can thiet,1,4,4,5,4,Co,0,4,4,Mien phi cho sinh vien,14
SV0140,Sinh vien,DH Thuong mai,Ngu van,Nu,21,Dai hoc,2,1,Excel,3,2,Thieu tinh nang can thiet,3,3,4,5,5,Co,5,2,4,Ho tro nhieu dinh dang file,18
SV0069,Sinh vien,DH Hue,Ky thuat,Nam,21,Dai hoc,4,3,Excel,2,5,Khong co tai lieu tieng Viet,4,3,4,5,4,Co,0,4,3,Co ban bao cao tu dong,21
SV0061,Sinh vien,DH Kinh te TP.HCM,Giao duc hoc,Nu,23,Dai hoc,5,4,SPSS,1,4,Thieu tinh nang can thiet,5,3,3,3,4,Co,10,5,2,Ho tro nhieu dinh dang file,11
GV0021,Giang vien,DH Can Tho,Giao duc hoc,Nu,54,ThS,22,5,Excel,1,3,Giao dien phuc tap,5,5,3,3,5,Co the,15,5,4,Co huong dan su dung chi tiet,12
SV0068,Sinh vien,DH Thuong mai,Quan tri kinh doanh,Nam,22,Dai hoc,5,5,Python,1,5,Khong duoc dao tao su dung,4,3,4,3,2,Co,10,4,4,Ho tro nhieu dinh dang file,18
SV0191,Sinh vien,DH Da Nang,Ky thuat,Nu,21,Dai hoc,4,1,Excel,4,4,Khong duoc dao tao su dung,4,5,4,4,4,Co,10,5,5,Tich hop AI de goi y phan tich,16
SV0063,Sinh vien,DH Kinh te TP.HCM,Tai chinh - Ngan hang,Nam,18,Dai hoc,4,2,R,3,4,Chi phi ban quyen cao,3,5,2,3,5,Co the,10,3,2,Mien phi cho sinh vien,19
SV0058,Sinh vien,DH Ngoai thuong,Khoa hoc may tinh,Nu,22,Dai hoc,5,2,Excel,2,4,Chi phi ban quyen cao,5,4,5,4,3,Co,0,4,3,Mien phi cho sinh vien,19
SV0128,Sinh vien,DH Bach khoa HN,Giao duc hoc,Nam,23,Dai hoc,4,3,Excel,2,4,Chi phi ban quyen cao,1,3,2,5,5,Co the,5,4,3,Mien phi cho sinh vien,15
GV0009,Giang vien,DH Thuong mai,Y khoa,Nu,43,ThS,12,2,SPSS,3,2,Chi phi ban quyen cao,5,5,4,5,3,Co the,10,4,1,Mien phi cho sinh vien,27
SV0124,Sinh vien,DH Ton Duc Thang,Tai chinh - Ngan hang,Nu,24,Dai hoc,3,4,Excel,5,2,Khong duoc dao tao su dung,3,4,1,4,5,Co,10,5,1,Mien phi cho sinh vien,18
SV0160,Sinh vien,DH Thuong mai,Tai chinh - Ngan hang,Nam,19,Dai hoc,2,3,Excel,3,3,Thieu tinh nang can thiet,3,5,4,5,5,Co,5,3,3,Co ban bao cao tu dong,12
GV0002,Giang vien,DH Hue,Giao duc hoc,Nu,43,ThS,15,4,Excel,3,1,Khong duoc dao tao su dung,4,4,4,4,4,Co the,30,3,3,Mien phi cho sinh vien,23
SV0055,Sinh vien,DH Hoa Sen,Cong nghe thong tin,Nam,18,Dai hoc,5,1,Excel,5,4,Giao dien phuc tap,2,4,3,3,5,Co,0,5,1,Co huong dan su dung chi tiet,10
GV0011,Giang vien,DH Kinh te TP.HCM,Y khoa,Nu,61,GS.TS,28,2,SmartPLS,4,2,Thieu tinh nang can thiet,4,4,4,5,5,Co,5,4,2,Co huong dan su dung chi tiet,22
SV0065,Sinh vien,DH Ngoai thuong,Xa hoi hoc,Nam,24,Dai hoc,2,4,Excel,3,3,Khong co tai lieu tieng Viet,5,3,4,4,4,Co,0,4,2,Ho tro nhieu dinh dang file,18
GV0019,Giang vien,DH Hue,Cong nghe thong tin,Nam,44,ThS,13,5,SPSS,4,2,Khong co kho khan gi,5,4,4,4,4,Co the,0,5,4,Tich hop AI de goi y phan tich,27
SV0046,Sinh vien,DH Ngoai thuong,Ngu van,Nam,24,Dai hoc,3,3,Excel,5,3,Khong co tai lieu tieng Viet,5,1,2,4,5,Khong,10,4,2,Co ban bao cao tu dong,19
GV0076,Giang vien,DH Bach khoa HN,Luat,Nam,44,ThS,11,2,Excel,4,3,Khong co kho khan gi,5,4,5,3,2,Co the,5,1,5,Ho tro nhieu dinh dang file,13
SV0135,Sinh vien,DH Can Tho,Tai chinh - Ngan hang,Nam,20,Dai hoc,5,3,SPSS,5,2,Khong duoc dao tao su dung,3,5,5,4,2,Khong,10,5,5,Co ban bao cao tu dong,10
SV0098,Sinh vien,DH Bach khoa HN,Xa hoi hoc,Nam,23,Dai hoc,1,4,SPSS,3,5,Khong co tai lieu tieng Viet,4,5,4,4,5,Co,0,2,4,Co ban bao cao tu dong,17
GV0035,Giang vien,DH Thuong mai,Marketing,Nu,33,TS,2,1,R,2,4,Khong co kho khan gi,4,2,4,5,4,Khong,10,5,5,Mien phi cho sinh vien,14
GV0039,Giang vien,DH Thuong mai,Xa hoi hoc,Nu,48,GS.TS,15,5,Khac,2,4,Chi phi ban quyen cao,3,1,5,4,4,Co the,10,3,1,Co giao dien tieng Viet,27
SV0138,Sinh vien,DH Su pham HN,Cong nghe thong tin,Nam,23,Dai hoc,1,4,Excel,1,4,Khong co tai lieu tieng Viet,4,5,4,5,5,Co the,0,5,5,Co giao dien tieng Viet,18
SV0090,Sinh vien,DH Kinh te TP.HCM,Khoa hoc may tinh,Nam,21,Dai hoc,1,3,Khac,2,3,Chi phi ban quyen cao,3,4,5,4,3,Co,0,3,3,Tich hop AI de goi y phan tich,20
GV0040,Giang vien,DH Can Tho,Khoa hoc may tinh,Nu,56,ThS,23,5,Python,2,2,Chi phi ban quyen cao,4,5,5,5,3,Co the,0,3,3,Mien phi cho sinh vien,27
SV0097,Sinh vien,DH Kinh te TP.HCM,Khoa hoc may tinh,Nu,21,Dai hoc,3,3,Python,2,4,Thieu tinh nang can thiet,5,4,2,4,4,Co,5,4,4,Co giao dien tieng Viet,9
SV0154,Sinh vien,DH Can Tho,Giao duc hoc,Nu,22,Dai hoc,1,3,Khong su dung,1,5,Giao dien phuc tap,5,3,2,5,5,Co,0,4,2,Ho tro nhieu dinh dang file,14
SV0170,Sinh vien,DH Ngoai thuong,Marketing,Nam,19,Dai hoc,4,3,R,2,3,Thieu tinh nang can thiet,4,1,4,3,3,Co,10,4,5,Co ban bao cao tu dong,18
SV0202,Sinh vien,DH Hoa Sen,Ke toan - Kiem toan,Nam,23,Dai hoc,1,4,Excel,4,2,Thieu tinh nang can thiet,4,3,5,5,3,Co the,5,2,5,Co huong dan su dung chi tiet,13
SV0177,Sinh vien,DH Ton Duc Thang,Tai chinh - Ngan hang,Nu,22,Dai hoc,1,3,Excel,1,4,Giao dien phuc tap,4,4,4,5,3,Co,0,4,4,Tich hop AI de goi y phan tich,9
SV0144,Sinh vien,DH Can Tho,Marketing,Nam,18,Dai hoc,4,3,Excel,1,1,Chi phi ban quyen cao,4,3,5,4,4,Co,10,4,1,Co ban bao cao tu dong,14
SV0031,Sinh vien,DH Ton Duc Thang,Ngu van,Nu,18,Dai hoc,3,3,Excel,4,4,Chi phi ban quyen cao,4,3,5,4,3,Co,5,4,4,Ho tro nhieu dinh dang file,20
SV0043,Sinh vien,DH Can Tho,Cong nghe thong tin,Nu,24,Dai hoc,4,3,Excel,3,2,Giao dien phuc tap,5,4,5,5,3,Co the,5,5,3,Co giao dien tieng Viet,12
SV0018,Sinh vien,DH Hue,Luat,Nam,20,Dai hoc,1,4,Khong su dung,2,3,Giao dien phuc tap,5,3,3,5,3,Co,0,5,4,Mien phi cho sinh vien,20
GV0070,Giang vien,DH Da Nang,Tai chinh - Ngan hang,Nu,55,ThS,27,2,SPSS,3,2,Thieu tinh nang can thiet,3,2,4,2,4,Khong,0,4,2,Co giao dien tieng Viet,14
SV0100,Sinh vien,DH Kinh te TP.HCM,Xa hoi hoc,Nu,24,Dai hoc,2,3,SPSS,4,3,Khong co kho khan gi,4,3,3,5,5,Co,10,3,5,Mien phi cho sinh vien,21
SV0125,Sinh vien,DH Hue,Ke toan - Kiem toan,Nam,20,Dai hoc,2,3,R,4,1,Khong duoc dao tao su dung,4,3,4,5,4,Co,10,4,5,Ho tro nhieu dinh dang file,17
SV0214,Sinh vien,DH Thuong mai,Ky thuat,Nam,23,Dai hoc,5,2,SPSS,1,3,Chi phi ban quyen cao,4,3,3,3,4,Co,5,4,3,Co huong dan su dung chi tiet,8
GV0030,Giang vien,DH Su pham HN,Xa hoi hoc,Nam,31,PGS.TS,3,3,AMOS,3,5,Chi phi ban quyen cao,5,3,4,4,1,Co the,5,4,1,Ho tro nhieu dinh dang file,16
GV0068,Giang vien,DH Hoa Sen,Y khoa,Nu,46,TS,16,5,AMOS,2,4,Khong co tai lieu tieng Viet,4,3,5,1,5,Co,10,5,4,Co giao dien tieng Viet,15
SV0209,Sinh vien,DH Hoa Sen,Y khoa,Nam,21,Dai hoc,4,3,Python,3,2,Khong co kho khan gi,4,5,5,3,4,Co,10,2,1,Co giao dien tieng Viet,21
